id,name,age,profession,city,salary
160,Courtney Fleming,34,designer,Frankshire,2574
161,Anthony Scott,32,designer,Markchester,9845
162,Steven Scott,31,teacher,Christopherborough,6375
163,Joshua Contreras,57,musician,Port Kimberlyshire,6011
164,Harry Malone,21,singer,East Alexanderville,5040
165,Dan Jones,43,doctor,West Dana,8140
166,Rebekah Cochran,42,teacher,New Meganhaven,11502
167,Daniel Johnson,63,software engineer,Loveview,3247
168,Zachary Brown,40,software engineer,Lake Andrew,8113
169,Charles Greene,60,lawyer,Port Charles,8948
170,Danielle Collins,47,lawyer,New Williammouth,2964
171,Diana Bailey,39,designer,East Vincent,11244
172,William Carson,66,musician,Murraybury,5446
173,Kimberly Hill,32,ml engineer,Port Courtneyfurt,10698
174,Elizabeth Robertson,24,singer,Karenfurt,2589
175,Rachael Santos,26,singer,Johnsonland,2053
176,Luis Fields,65,journalist,Murrayport,1867
177,Amanda Massey,20,doctor,Bushville,4122
178,Amber Smith,19,fireman,Wilsonview,8997
179,Colleen Nelson,44,teacher,Port Stevemouth,4900
